Deputados federais eleitos,Naturalidade,Mandatos,Ano da eleição,Link
Ernani Sátiro,"Patos, PB",8,"1945, 1950, 1954, 1958, 1962, 1966, 1978, 1982","""/wiki/Ern%C3%A2ni_S%C3%A1tiro"""
Janduhy Carneiro,"Pombal, PB",8,"1945, 1950, 1954, 1958, 1962, 1966, 1970, 1974","""/wiki/Jandu%C3%AD_Carneiro"""
Wilson Braga,"Conceição, PB",7,"1966, 1970, 1974, 1978, 1994, 1998, 2006","""/wiki/Wilson_Braga"""
Adauto Pereira,"Pombal, PB",6,"1982, 1986, 1990, 1994, 1998, 2002","""/wiki/Adauto_Pereira"""
João Agripino,"Brejo do Cruz, PB",5,"1945, 1950, 1954, 1958, 1982","""/wiki/Jo%C3%A3o_Agripino"""
Marcondes Gadelha,"Sousa, PB",5,"1970, 1974, 1978, 1998, 2006","""/wiki/Marcondes_Gadelha"""
Damião Feliciano,"Campina Grande, PB",5,"1998, 2006, 2010, 2014, 2018","""/wiki/Dami%C3%A3o_Feliciano"""
Wellington Roberto,"São José de Piranhas, PB",5,"2002, 2006, 2010, 2014, 2018","""/wiki/Wellington_Roberto"""
José Joffily,"Campina Grande, PB",4,"1945, 1950, 1954, 1958","""/wiki/Jos%C3%A9_Joffily_Bezerra_de_Mello"""
Humberto Lucena,"João Pessoa, PB",4,"1958, 1962, 1966, 1974","""/wiki/Humberto_Lucena"""
Teotônio Neto,"Santana dos Garrotes, PB",4,"1962, 1966, 1970, 1974","""/w/index.php?title=Francisco_Teot%C3%B4nio_Neto&amp;action=edit&amp;redlink=1"""
Álvaro Gaudêncio,"São João do Cariri, PB",4,"1970, 1974, 1978, 1982","""/wiki/%C3%81lvaro_Gaud%C3%AAncio_Filho"""
Antônio Mariz,"João Pessoa, PB",4,"1970, 1974, 1978, 1986","""/wiki/Ant%C3%B4nio_Mariz"""
Armando Abílio,"Itaporanga, PB",4,"1994, 1998, 2002, 2006","""/wiki/Armando_Ab%C3%ADlio"""
Luiz Couto,"Soledade, PB",4,"2002, 2006, 2010, 2014","""/wiki/Luiz_Couto"""
Efraim Morais Filho,"João Pessoa, PB",4,"2006, 2010, 2014, 2018","""/wiki/Efraim_Morais_Filho"""
João Úrsulo,"Santa Rita, PB",3,"1945, 1954, 1958","""/wiki/Jo%C3%A3o_%C3%9Arsulo"""
Plínio Lemos,"Areia, PB",3,"1945, 1954, 1962","""/wiki/Pl%C3%ADnio_Lemos"""
Petrônio Figueiredo,"Campina Grande, PB",3,"1966, 1970, 1974","""/wiki/Petr%C3%B4nio_Figueiredo"""
Vital do Rego,"Campina Grande, PB",3,"1962, 1966, 1990","""/wiki/Vital_do_R%C3%AAgo"""
Antônio Gomes,"Umbuzeiro, PB",3,"1974, 1978, 1982","""/wiki/Ant%C3%B4nio_da_Costa_Gomes"""
José Maranhão,"Araruna, PB",3,"1982, 1986, 1990","""/wiki/Jos%C3%A9_Maranh%C3%A3o"""
Lúcia Braga,"João Pessoa, PB",3,"1986, 1990, 2002","""/wiki/L%C3%BAcia_Braga"""
Efraim Morais,"Santa Luzia, PB",3,"1990, 1994, 1998","""/wiki/Efraim_Morais"""
Enivaldo Ribeiro,"Campina Grande, PB",3,"1994, 1998, 2002","""/wiki/Enivaldo_Ribeiro"""
Benjamin Maranhão,"João Pessoa, PB",3,"2002, 2010, 2014","""/wiki/Benjamin_Maranh%C3%A3o"""
Wilson Santiago,"Uiraúna, PB",3,"2002, 2006, 2018","""/wiki/Wilson_Santiago"""
Manoel Junior,"Pedras de Fogo, PB",3,"2006, 2010, 2014","""/wiki/Manoel_Junior"""
Aguinaldo Ribeiro,"Campina Grande, PB",3,"2010, 2014, 2018","""/wiki/Aguinaldo_Ribeiro"""
Hugo Motta,"João Pessoa, PB",3,"2010, 2014, 2018","""/wiki/Hugo_Motta"""
Samuel Duarte,"Alagoa Nova, PB",2,"1945, 1950","""/wiki/Samuel_Duarte"""
Antônio Pereira Diniz,"Alagoa Nova, PB",2,"1950, 1954","""/wiki/Ant%C3%B4nio_Pereira_Dinis"""
Drault Ernani,"São José dos Cordeiros, PB",2,"1954, 1958","""/wiki/Drault_Ernanny_de_Mello_e_Silva"""
Abelardo Jurema,"Itabaiana, PB",2,"1958, 1962","""/wiki/Abelardo_de_Ara%C3%BAjo_Jurema"""
Luís Bronzeado,"Remígio, PB",2,"1958, 1962","""/w/index.php?title=Lu%C3%ADs_Bronzeado&amp;action=edit&amp;redlink=1"""
Raul de Góes,"Natal, RN",2,"1958, 1962","""/wiki/Raul_de_G%C3%B3es"""
Arnaldo Lafayette,"Monteiro, PB",2,"1962, 1978","""/wiki/Arnaldo_Lafayette"""
Bivar Olyntho,"Serra Negra do Norte, RN",2,"1962, 1966","""/wiki/Bivar_Olyntho_de_Mello_e_Silva"""
Flaviano Coutinho,"João Pessoa, PB",2,"1962, 1966","""/wiki/Flaviano_Ribeiro_Coutinho_Filho"""
Ademar Pereira,"Pombal, PB",2,"1974, 1978","""/wiki/Ademar_Pereira"""
Carneiro Arnaud,"Pombal, PB",2,"1978, 1982","""/wiki/Ant%C3%B4nio_Carneiro_Arnaud"""
Joacil Pereira,"Caicó, RN",2,"1978, 1982","""/wiki/Joacil_de_Brito_Pereira"""
Aluizio Campos,"Campina Grande, PB",2,"1982, 1986","""/wiki/Aluizio_Afonso_Campos"""
Edme Tavares,"Cajazeiras, PB",2,"1982, 1986","""/wiki/Edme_Tavares"""
Cássio Cunha Lima,"Campina Grande, PB",2,"1986, 1994","""/wiki/C%C3%A1ssio_Cunha_Lima"""
Evaldo Gonçalves,"São João do Cariri, PB",2,"1986, 1990","""/wiki/Evaldo_Gon%C3%A7alves"""
Ivandro Cunha Lima,"Guarabira, PB",2,"1990, 1994","""/wiki/Ivandro_Cunha_Lima"""
José Luiz Clerot,"Mamanguape, PB",2,"1990, 1994","""/wiki/Jos%C3%A9_Luiz_Clerot"""
Carlos Dunga,"Pombal, PB",2,"1998, 2002","""/wiki/Carlos_Dunga"""
Domiciano Cabral,"João Pessoa, PB",2,"1998, 2002","""/wiki/Domiciano_Cabral"""
Ronaldo Cunha Lima,"Guarabira, PB",2,"2002, 2006","""/wiki/Ronaldo_Cunha_Lima"""
Rômulo Gouveia,"Campina Grande, PB",2,"2006, 2014","""/wiki/R%C3%B4mulo_Gouveia"""
Ruy Carneiro,"Rio de Janeiro, RJ",2,"2010, 2018","""/wiki/Ruy_Carneiro"""
Wilson Santiago Filho,"João Pessoa, PB",2,"2010, 2014","""/wiki/Wilson_Santiago_Filho"""
Pedro Cunha Lima,"Campina Grande, PB",2,"2014, 2018","""/wiki/Pedro_Cunha_Lima"""
Argemiro Figueiredo,"Campina Grande, PB",1,1945,"""/wiki/Argemiro_de_Figueiredo"""
Fernando Nóbrega,"João Pessoa, PB",1,1945,"""/wiki/Fernando_N%C3%B3brega"""
Osmar de Aquino,"Guarabira, PB",1,1945,"""/wiki/Osmar_de_Aquino_Ara%C3%BAjo"""
Alcides Carneiro,"Princesa Isabel, PB",1,1950,"""/wiki/Alcides_Carneiro"""
Elpídio de Almeida,"Areia, PB",1,1950,"""/wiki/Elp%C3%ADdio_Josu%C3%A9_de_Almeida"""
José Gaudêncio,"São João do Cariri, PB",1,1950,"""/wiki/Jos%C3%A9_Gaud%C3%AAncio_Correia_de_Queir%C3%B3s"""
Osvaldo Trigueiro,"Alagoa Grande, PB",1,1950,"""/wiki/Osvaldo_Trigueiro_de_Albuquerque_Melo"""
Ivan Bichara,"Cajazeiras, PB",1,1954,"""/wiki/Ivan_Bichara"""
Praxedes Pitanga,"Itaporanga, PB",1,1954,"""/w/index.php?title=Praxedes_Pitanga&amp;action=edit&amp;redlink=1"""
Rafael Corrêa,"Goiana, PE",1,1954,"""/w/index.php?title=Rafael_Corr%C3%AAa_de_Oliveira&amp;action=edit&amp;redlink=1"""
Jacob Frantz,"Rio Pardo, RS",1,1958,"""/w/index.php?title=Jacob_Guilherme_Frantz&amp;action=edit&amp;redlink=1"""
Milton Cabral,"Umbuzeiro, PB",1,1962,"""/wiki/Milton_Bezerra_Cabral"""
José Gadelha,"Sousa, PB",1,1966,"""/wiki/Jos%C3%A9_Gadelha"""
Manoel Vieira,"Uiraúna, PB",1,1966,"""/wiki/Manuel_Vieira"""
Pedro Gondim,"Alagoa Nova, PB",1,1966,"""/wiki/Pedro_Gondim"""
Renato Coutinho,"Sapé, PB",1,1966,"""/wiki/Renato_Ribeiro_Coutinho"""
Cláudio Leite,"João Pessoa, PB",1,1970,"""/w/index.php?title=Cl%C3%A1udio_de_Paiva_Leite&amp;action=edit&amp;redlink=1"""
Maurício Leite,"Patos, PB",1,1974,"""/wiki/Maur%C3%ADcio_Brasilino_Leite"""
Otacílio Queiroz,"Patos, PB",1,1978,"""/wiki/Octac%C3%ADlio_N%C3%B3brega_de_Queiroz"""
Raimundo Asfora,"Fortaleza, CE",1,1982,"""/wiki/Raimundo_Asfora"""
Tarcísio Burity,"João Pessoa, PB",1,1982,"""/wiki/Tarc%C3%ADsio_Burity"""
Agassiz Almeida,"Campina Grande, PB",1,1986,"""/wiki/Agassiz_Almeida"""
Edivaldo Motta,"Patos, PB",1,1986,"""/wiki/Edivaldo_Motta"""
João Agripino,"João Pessoa, PB",1,1986,"""/wiki/Jo%C3%A3o_Agripino_de_Vasconcelos_Maia"""
João da Mata,"Pombal, PB",1,1986,"""/wiki/Jo%C3%A3o_da_Mata_de_Sousa"""
Francisco Evangelista,"Alexandria, RN",1,1990,"""/wiki/Francisco_Evangelista_de_Freitas"""
Ivan Burity,"João Pessoa, PB",1,1990,"""/wiki/Ivan_Burity_de_Almeida"""
Rivaldo Medeiros,"Patos, PB",1,1990,"""/wiki/Rivaldo_Medeiros"""
Zuca Moreira,"Cajazeiras, PB",1,1990,"""/wiki/Jos%C3%A9_Zuca_Moreira_Lustosa"""
Álvaro Gaudêncio Neto,"Campina Grande, PB",1,1994,"""/wiki/%C3%81lvaro_Gaud%C3%AAncio_Neto"""
Gilvan Freire,"São Mamede, PB",1,1994,"""/wiki/Gilvan_Freire"""
José Aldemir,"Cajazeiras, PB",1,1994,"""/wiki/Jos%C3%A9_Aldemir_Meireles_de_Almeida"""
Roberto Paulino,"Guarabira, PB",1,1994,"""/wiki/Roberto_Paulino"""
Avenzoar Arruda,"Bonito de Santa Fé, PB",1,1998,"""/wiki/Avenzoar_Arruda"""
Inaldo Leitão,"Sousa, PB",1,1998,"""/wiki/Inaldo_Rocha_Leit%C3%A3o"""
Ricardo Rique,"Campina Grande, PB",1,1998,"""/wiki/Ricardo_Rique"""
Filemon Rodrigues,"Mamanguape, PB",1,2006,"""/wiki/Filemon_Rodrigues_da_Silva"""
Vital do Rego Filho,"Campina Grande, PB",1,2006,"""/wiki/Vital_do_R%C3%AAgo_Filho"""
Nilda Gondim,"João Pessoa, PB",1,2010,"""/wiki/Nilda_Gondim"""
Romero Rodrigues,"Campina Grande, PB",1,2010,"""/wiki/Romero_Rodrigues_Veiga"""
Veneziano Neto,"Campina Grande, PB",1,2014,"""/wiki/Veneziano_Vital_do_R%C3%AAgo"""
Edna Henrique,"Xique-Xique, BA",1,2018,"""/wiki/Edna_Henrique"""
Frei Anastácio,"Esperança, PB",1,2018,"""/wiki/Frei_Anast%C3%A1cio"""
Gervásio Maia,"São Paulo, SP",1,2018,"""/wiki/Gerv%C3%A1sio_Agripino_Maia"""
Julian Lemos,"Campina Grande, PB",1,2018,"""/wiki/Julian_Lemos"""
